,mig_int_sex,mig_int_age,mig_int_temporalidad,mig_int_freq,mig_int_motivo,mig_int_motivo/1,mig_int_motivo/2,mig_int_motivo/3,mig_int_motivo/4,mig_int_motivo/5,mig_int_motivo/6,mig_int_motivo/7,mig_int_motivo/8,mig_int_motivo/9,mig_int_motivo/10,mig_int_motivo/11,mig_int_motivo/12,mig_int_motivo/13,mig_int_motivo/99,mig_int_gt,mig_int_gt/GT01,mig_int_gt/GT02,mig_int_gt/GT03,mig_int_gt/GT04,mig_int_gt/GT05,mig_int_gt/GT06,mig_int_gt/GT07,mig_int_gt/GT08,mig_int_gt/GT09,mig_int_gt/GT10,mig_int_gt/GT11,mig_int_gt/GT12,mig_int_gt/GT13,mig_int_gt/GT14,mig_int_gt/GT15,mig_int_gt/GT16,mig_int_gt/GT17,mig_int_gt/GT18,mig_int_gt/GT19,mig_int_gt/GT20,mig_int_gt/GT21,mig_int_gt/GT22,mig_int_slv,mig_int_slv/1184,mig_int_slv/1185,mig_int_slv/1186,mig_int_slv/1187,mig_int_slv/1188,mig_int_slv/1189,mig_int_slv/1190,mig_int_slv/1191,mig_int_slv/1192,mig_int_slv/1193,mig_int_slv/1194,mig_int_slv/1195,mig_int_slv/1196,mig_int_slv/1197,mig_int_hnd,mig_int_hnd/901725,mig_int_hnd/901726,mig_int_hnd/901727,mig_int_hnd/901728,mig_int_hnd/901729,mig_int_hnd/901730,mig_int_hnd/901731,mig_int_hnd/901732,mig_int_hnd/901733,mig_int_hnd/901734,mig_int_hnd/901735,mig_int_hnd/901736,mig_int_hnd/901737,mig_int_hnd/901738,mig_int_hnd/901739,mig_int_hnd/901740,mig_int_hnd/901741,mig_int_hnd/901742,mig_int_area,_index,_parent_table_name,rsp_id,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission__tags,country
10,2,0,99,,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901730,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,11,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,63,172964778,01e7a39f-5578-4b55-8f45-f412eeede99b,2021-04-21T23:21:08,,[],submitted_via_web,wfpmandeteam,[],HND
11,2,23,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,77,172965800,07d6f198-8e9e-41ad-984e-ec655fd1cb7c,2021-04-21T23:32:12,,[],submitted_via_web,wfpmandeteam,[],HND
12,1,36,2,4.0,6 8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,13,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,77,172965800,07d6f198-8e9e-41ad-984e-ec655fd1cb7c,2021-04-21T23:32:12,,[],submitted_via_web,wfpmandeteam,[],HND
13,1,50,99,,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,14,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,77,172965800,07d6f198-8e9e-41ad-984e-ec655fd1cb7c,2021-04-21T23:32:12,,[],submitted_via_web,wfpmandeteam,[],HND
14,1,21,1,,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901730,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,97,172970863,522302ee-2b44-40fb-b0f4-7d1397b638eb,2021-04-22T00:54:30,,[],submitted_via_web,wfpmandeteam,[],HND
15,2,32,2,7.0,1 8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,GT09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,102,172971062,998a8f0b-7c35-49ca-923a-fc4a304e0c6d,2021-04-22T00:57:25,,[],submitted_via_web,wfpmandeteam,[],GT
16,2,20,2,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GT01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,103,172971064,6567c378-2eff-48c8-a5bd-3b3b9543e870,2021-04-22T00:57:26,,[],submitted_via_web,wfpmandeteam,[],GT
17,1,21,99,,4 6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,18,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,115,172973876,b0ee4d80-9685-4e60-8c06-44655d1c9109,2021-04-22T01:59:22,,[],submitted_via_web,wfpmandeteam,[],HND
18,2,36,99,,1 2 4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,116,172973879,407d79b7-3a6e-4561-a9e8-da8751f21d49,2021-04-22T01:59:23,,[],submitted_via_web,wfpmandeteam,[],HND
19,2,34,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,119,172977194,24a7ef4a-e15f-4d38-9acc-6228ff21d45a,2021-04-22T02:51:33,,[],submitted_via_web,wfpmandeteam,[],HND
20,1,34,2,4.0,1 2 3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901729,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,21,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,126,172981398,c3f43e83-e9a6-455c-a30b-054d69788f47,2021-04-22T03:39:42,,[],submitted_via_web,wfpmandeteam,[],HND
21,3,0,99,,1 99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,22,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,131,172982961,04c43742-fc10-49c0-97c4-80c33d6076e4,2021-04-22T03:50:22,,[],submitted_via_web,wfpmandeteam,[],HND
22,2,24,1,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901730,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,135,172985493,4c50213f-900e-4d78-8a70-ad998d030e3e,2021-04-22T04:20:26,,[],submitted_via_web,wfpmandeteam,[],HND
23,3,0,99,,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901730,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,24,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,141,172995774,6ab05b80-7233-4621-8ba3-320984d972ed,2021-04-22T05:45:03,,[],submitted_via_web,wfpmandeteam,[],HND
24,2,21,2,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901730,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,25,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,160,173199421,7f8385fe-7c79-4aa4-994c-3db83838eda7,2021-04-22T21:54:08,,[],submitted_via_web,wfpmandeteam,[],HND
25,1,18,2,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901727,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,177,173212346,2c5e3def-7627-46f5-a95f-6a4ea3e8f5d4,2021-04-23T00:23:44,,[],submitted_via_web,wfpmandeteam,[],HND
26,1,21,2,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901727,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,27,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,177,173212346,2c5e3def-7627-46f5-a95f-6a4ea3e8f5d4,2021-04-23T00:23:44,,[],submitted_via_web,wfpmandeteam,[],HND
27,1,20,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901728,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,28,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,180,173212353,0bec2803-9757-4dd8-9b6e-0c23a24983bc,2021-04-23T00:23:47,,[],submitted_via_web,wfpmandeteam,[],HND
28,2,56,1,,1 2 6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,GT01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,195,173213289,70766ab0-1508-4fea-9bbc-9fae3d2536c5,2021-04-23T00:38:30,,[],submitted_via_web,wfpmandeteam,[],GT
29,2,64,2,99.0,1 2 4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901730 901726 901737,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,30,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,211,173214431,ada261cd-a1f7-4f4c-98c1-cbeb667f8eea,2021-04-23T01:11:47,,[],submitted_via_web,wfpmandeteam,[],HND
30,3,0,99,,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GT01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,31,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,224,173214681,95ffabcd-1db0-4e56-b1fb-2c7ccfd2027d,2021-04-23T01:19:32,,[],submitted_via_web,,[],GT
31,2,30,99,,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,GT01 GT17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,32,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,255,173215304,b3c204e7-ec3c-4050-a18d-06737ba882c5,2021-04-23T01:34:18,,[],submitted_via_web,,[],GT
32,2,32,1,,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,GT01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,258,173215396,520deda2-adb9-4241-a6a7-60fe41aa6504,2021-04-23T01:37:41,,[],submitted_via_web,wfpmandeteam,[],GT
33,1,28,2,5.0,2 7 11,0,1,0,0,0,0,1,0,0,0,1,0,0,0,GT05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,269,173215471,59458569-281e-45ae-be52-8d4f5fa6fdbc,2021-04-23T01:38:31,,[],submitted_via_web,wfpmandeteam,[],GT
34,1,19,3,1.0,6 13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,GT12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,270,173215474,a297bf29-1c51-4d6c-9449-9931b12945a1,2021-04-23T01:38:32,,[],submitted_via_web,wfpmandeteam,[],GT
35,1,20,3,1.0,7 13,0,0,0,0,0,0,1,0,0,0,0,0,1,0,GT12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,36,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,270,173215474,a297bf29-1c51-4d6c-9449-9931b12945a1,2021-04-23T01:38:32,,[],submitted_via_web,wfpmandeteam,[],GT
36,2,31,3,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GT12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,37,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,272,173215481,eae2f752-f59f-4935-9df1-6198d2ff1c17,2021-04-23T01:38:34,,[],submitted_via_web,wfpmandeteam,[],GT
37,1,20,2,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GT12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,279,173215792,5acfc542-aed2-4d87-8935-6fc099415f74,2021-04-23T01:42:36,,[],submitted_via_web,,[],GT
38,2,28,99,,99 1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,GT01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,284,173215803,713c25d5-f1d1-4ba4-9151-fd2887550112,2021-04-23T01:42:58,,[],submitted_via_web,wfpmandeteam,[],GT
39,3,0,99,,1 99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,GT13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,301,173220259,24914bef-2c2d-43b5-8f39-129ef334d3c4,2021-04-23T02:56:41,,[],submitted_via_web,wfpmandeteam,[],GT
40,3,0,99,,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GT01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,41,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,320,173221403,24a79d4b-fc41-4602-8637-8105cdcf517a,2021-04-23T03:16:18,,[],submitted_via_web,wfpmandeteam,[],GT
41,1,26,2,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GT13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,42,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,322,173221406,54a3f617-7b9f-4fe5-b8a0-361a2b09deea,2021-04-23T03:16:22,,[],submitted_via_web,wfpmandeteam,[],GT
42,2,19,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901730,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,340,173381983,51f8300d-c477-480b-86d5-1cabbd76e21c,2021-04-23T21:04:48,,[],submitted_via_web,wfpmandeteam,[],HND
